Date,PMR
30-Jul-19,336519.92
31-Jul-19,331363.08
01-Aug-19,311935.28
02-Aug-19,298586.17
03-Aug-19,262166.63
04-Aug-19,263343.35
05-Aug-19,306764.05
06-Aug-19,314022.40
07-Aug-19,310608.12
08-Aug-19,317353.35
09-Aug-19,308121.39
10-Aug-19,260080.10
11-Aug-19,266313.42
12-Aug-19,313406.06
13-Aug-19,308704.54
14-Aug-19,308806.04
15-Aug-19,319972.28
16-Aug-19,314590.50
17-Aug-19,281083.05
18-Aug-19,273716.77
19-Aug-19,309205.28
20-Aug-19,337287.17
21-Aug-19,352048.90
22-Aug-19,365266.62
23-Aug-19,355307.62
24-Aug-19,297801.96
25-Aug-19,310351.17
26-Aug-19,364186.57
27-Aug-19,380438.76
28-Aug-19,378611.38
29-Aug-19,376254.18
30-Aug-19,349916.89
31-Aug-19,312370.26
01-Sep-19,293751.14
02-Sep-19,307103.79
03-Sep-19,366324.51
04-Sep-19,359666.84
05-Sep-19,369508.72
06-Sep-19,372130.23
07-Sep-19,324684.64
08-Sep-19,316768.21
09-Sep-19,355096.65
10-Sep-19,337962.76
11-Sep-19,320339.86
12-Sep-19,308239.59
13-Sep-19,328414.76
14-Sep-19,288527.62
15-Sep-19,301715.65
16-Sep-19,324131.25
17-Sep-19,351900.28
18-Sep-19,345614.30
19-Sep-19,352620.83
20-Sep-19,357413.35
21-Sep-19,317444.85
22-Sep-19,320728.35
23-Sep-19,347897.14
24-Sep-19,368147.34
25-Sep-19,378343.11
26-Sep-19,372076.84
27-Sep-19,380687.67
28-Sep-19,328422.14
29-Sep-19,326445.64
30-Sep-19,343090.77
01-Oct-19,311716.13
02-Oct-19,321211.83
03-Oct-19,327717.71
04-Oct-19,320480.85
05-Oct-19,289099.46
06-Oct-19,285524.26
07-Oct-19,321372.39
08-Oct-19,325916.16
09-Oct-19,327534.95
10-Oct-19,367978.89
11-Oct-19,366660.01
12-Oct-19,316220.56
13-Oct-19,314494.35
14-Oct-19,346869.19
15-Oct-19,358820.38
16-Oct-19,349326.18
17-Oct-19,365115.13
18-Oct-19,362196.85
19-Oct-19,315299.73
20-Oct-19,324978.69
21-Oct-19,370541.28
22-Oct-19,380083.07
23-Oct-19,378325.85
24-Oct-19,389017.59
25-Oct-19,385580.60
26-Oct-19,360938.79
27-Oct-19,346638.65
28-Oct-19,376323.17
29-Oct-19,389620.30
30-Oct-19,396606.20
31-Oct-19,372215.15
01-Nov-19,375888.68
02-Nov-19,327784.10
03-Nov-19,345951.84
04-Nov-19,372582.51
05-Nov-19,382407.30
06-Nov-19,390711.42
07-Nov-19,397070.10
08-Nov-19,399763.40
09-Nov-19,353616.59
10-Nov-19,359389.52
11-Nov-19,393576.68
12-Nov-19,411833.84
13-Nov-19,#N/A
14-Nov-19,433283.15
15-Nov-19,438371.45
16-Nov-19,391434.69
17-Nov-19,400194.51
18-Nov-19,439094.30
19-Nov-19,441902.97
20-Nov-19,460218.74
21-Nov-19,480607.38
22-Nov-19,477044.45
23-Nov-19,421448.92
24-Nov-19,428824.27
25-Nov-19,465053.61
26-Nov-19,466233.09
27-Nov-19,484838.95
28-Nov-19,453466.73
29-Nov-19,506765.56
30-Nov-19,436276.82
01-Dec-19,438720.62
02-Dec-19,536624.36
03-Dec-19,464437.75
04-Dec-19,460346.82
05-Dec-19,445097.23
06-Dec-19,450188.63
07-Dec-19,393593.52
08-Dec-19,403039.40
09-Dec-19,443639.72
10-Dec-19,444411.33
11-Dec-19,460955.18
12-Dec-19,472227.98
13-Dec-19,472380.56
14-Dec-19,409136.74
15-Dec-19,419702.55
16-Dec-19,458893.72
17-Dec-19,477528.41
18-Dec-19,481991.79
19-Dec-19,479431.30
20-Dec-19,470997.29
21-Dec-19,411563.23
